Press,Temp,COND,Sal,DENS,C
76.7747,-0.8538,28.1204,34.7,28.27,1446.02
77.0252,-0.8326,28.14,34.7,28.27,1446.13
77.2758,-0.7996,28.2111,34.76,28.32,1446.37
77.4905,-0.7276,28.2737,34.76,28.32,1446.71
77.8126,-0.668,28.3031,34.73,28.3,1446.95
78.0274,-0.632,28.3424,34.75,28.3,1447.14
78.2779,-0.5824,28.3988,34.76,28.32,1447.4
78.4927,-0.5211,28.4748,34.8,28.34,1447.73
78.779,-0.4432,28.5214,34.77,28.32,1448.06
78.9937,-0.3978,28.5386,34.74,28.29,1448.24
79.3158,-0.3777,28.5459,34.73,28.28,1448.32
79.5664,-0.3683,28.5533,34.73,28.28,1448.37
79.7811,-0.36,28.5717,34.74,28.3,1448.43
80.0316,-0.3423,28.5864,34.74,28.3,1448.51
80.2822,-0.3264,28.5962,34.74,28.29,1448.58
80.5327,-0.3152,28.6036,34.73,28.29,1448.64
80.819,-0.3093,28.6073,34.73,28.29,1448.67
81.0695,-0.3051,28.6097,34.73,28.29,1448.69
81.2485,-0.3022,28.6122,34.73,28.29,1448.7
81.6422,-0.2992,28.6183,34.73,28.3,1448.73
81.8569,-0.2945,28.6195,34.73,28.29,1448.75
82.179,-0.2939,28.6171,34.73,28.29,1448.75
82.3937,-0.2939,28.6158,34.72,28.29,1448.75
82.6442,-0.2951,28.6171,34.73,28.3,1448.75
82.859,-0.2969,28.6158,34.73,28.3,1448.75
83.1095,-0.2969,28.6158,34.73,28.3,1448.75
83.3958,-0.2981,28.6158,34.73,28.3,1448.76
83.6105,-0.2981,28.6183,34.73,28.3,1448.76
83.861,-0.2975,28.6183,34.73,28.3,1448.77
84.1473,-0.2916,28.6441,34.76,28.33,1448.84
84.4336,-0.2703,28.6649,34.76,28.33,1448.95
84.6484,-0.245,28.6796,34.75,28.32,1449.05
84.9704,-0.2279,28.6919,34.75,28.32,1449.13
85.1494,-0.2172,28.6943,34.74,28.31,1449.17
85.3999,-0.2125,28.6968,34.74,28.31,1449.2
85.6504,-0.2102,28.6992,34.74,28.31,1449.21
85.9009,-0.2078,28.7029,34.74,28.32,1449.23
86.0798,-0.2054,28.7029,34.74,28.32,1449.24
86.4019,-0.2054,28.7029,34.74,28.32,1449.24
86.6882,-0.2048,28.7029,34.74,28.32,1449.25
86.9387,-0.2048,28.7042,34.74,28.32,1449.26
87.1892,-0.2043,28.7042,34.74,28.32,1449.26
87.4755,-0.2043,28.7042,34.74,28.32,1449.27
87.726,-0.2043,28.7054,34.74,28.32,1449.27
87.9407,-0.2048,28.7054,34.74,28.33,1449.27
88.1912,-0.2048,28.7054,34.74,28.33,1449.28
