,ind,name,wspd,snr,snr_sh,alti
153,270,2024-01-01_00-18-33,5.4500003,0.412717401769373,0.801684249783657,1.575
154,271,2024-01-01_00-35-03,5.96875,3.7271388645554,33.5844768214585,1.569
155,272,2024-01-01_02-05-49,6.8117642,1.10598079195019,2.05110449482101,1.523
156,273,2024-01-01_02-23-18,6.6200004,1.37294263068107,1.28608489561636,1.508
157,274,2024-01-01_02-39-40,6.96875,49.8814983461878,164.924676401321,1.508
158,275,2024-01-01_06-34-26,6.0066667,1.04568536042008,1.05911635776741,1.877
159,276,2024-01-01_13-08-35,7.727778,6.315942606358,7.77618487335041,2.548
160,277,2024-01-01_13-28-03,7.2450004,7.6910885880554,12.1946557055908,2.548
161,278,2024-01-01_13-50-08,6.9833336,13.3441319448837,16.7790411029873,2.548
162,279,2024-01-01_15-43-32,7.01875,15.0210448011776,17.9445643132348,2.435
163,280,2024-01-01_16-01-07,6.2882347,12.2045179716134,13.6410019486115,2.435
164,281,2024-01-01_16-20-03,6.338889,16.6360574000734,22.2404664112417,2.435
165,282,2024-01-01_17-22-01,6.1899996,11.1175313357687,15.9764012333897,2.482
166,283,2024-01-01_17-44-03,4.246667,11.9876405191444,12.6466018967403,2.482
167,284,2024-01-01_18-01-04,3.1333334,9.94556035064396,12.9417556941905,2.482
168,285,2024-01-01_20-27-49,2.2812502,0.388918070613953,0.994091888125115,2.469
169,292,2024-01-02_16-34-06,5.375,11.9131680894401,13.7963455394762,1.807
170,293,2024-01-02_16-52-03,5.9875,6.10014425221815,7.17403085701536,1.908
171,294,2024-01-02_18-37-33,7.6449995,8.325501298389,10.061381362185,1.767
172,295,2024-01-02_18-59-03,7.8500004,7.65929423093624,8.84654381575474,1.742
173,296,2024-01-02_19-17-25,7.95,3.76913872670417,36.983245988466,1.736
174,297,2024-01-02_20-02-31,7.373334,3.62123108144162,41.2902057804446,1.778
175,298,2024-01-02_20-19-10,7.0933332,3.55218475578545,10.8860777023657,1.799
176,299,2024-01-02_20-36-04,6.8800006,4.47303338291424,4.94168178609055,1.805
177,300,2024-01-02_23-22-12,3.8624997,2.95166176654468,35.3023987326766,1.701
178,301,2024-01-02_23-40-03,4.133333,7.60663229317144,8.88140523417844,1.69
179,302,2024-01-03_00-27-58,6.378571,5.26824103890001,42.8576732201662,1.701
180,304,2024-01-03_01-01-03,7.80625,5.35007389223651,6.38899689991975,1.723
181,305,2024-01-03_02-33-50,8.05625,24.4588980674311,121.543671416899,1.805
182,306,2024-01-03_02-50-40,6.7,3.76694557011363,3.97206410228682,1.819
183,307,2024-01-03_03-07-35,7.51875,2.28758480544577,25.6798323083931,1.843
184,308,2024-01-03_04-27-37,10.558824,6.22125406670191,42.0075847861032,1.852
185,309,2024-01-03_04-45-41,11.04375,2.6604607963529,27.5319246018058,1.828
186,310,2024-01-03_05-04-11,10.3625,2.26351096386806,2.7582543021157,1.828
187,311,2024-01-03_15-40-02,6.44,11.1477660920902,13.010081919532,1.684
188,312,2024-01-03_17-29-10,7.7650003,11.2484329684256,13.5020490641029,1.863
189,313,2024-01-03_17-53-24,8.543478,18.560149459677,22.2102631942309,1.862
190,314,2024-01-03_18-18-02,9.626666,4.3356282835099,5.14015752552238,1.866
191,315,2024-01-03_19-14-05,10.16,16.6018167624382,19.7940333525298,1.813
192,316,2024-01-03_19-36-46,9.552631,9.89412484330008,11.5781452788556,2.056
193,317,2024-01-03_19-57-03,9.130435,19.7642700576529,23.8247615205232,2.115
194,318,2024-01-03_21-11-58,9.516666,24.3031526599559,30.9954790315077,2.195
195,319,2024-01-03_21-31-02,8.894737,2.68756129196743,19.5800990545309,2.243
196,320,2024-01-03_21-52-32,8.875,37.96023033172,45.0890566162542,2.256
197,321,2024-01-04_01-31-08,9.083333,29.2910899237952,35.3721755931936,2.394
198,322,2024-01-04_02-04-27,9.533334,9.86618462585346,11.7229528187818,2.654
199,323,2024-01-04_02-21-03,9.346667,18.3436896424818,22.1470438055254,2.684
200,324,2024-01-04_03-15-59,7.375,15.1485209264017,18.444922836747,
201,325,2024-01-04_03-33-10,7.0266666,26.3779598828106,31.30345713691,
202,326,2024-01-04_13-16-42,7.4352937,16.1485987352541,18.4571615379151,2.036
203,327,2024-01-04_13-34-08,8.38125,7.01189179681379,8.06259480515641,1.839
204,328,2024-01-04_13-51-46,7.3941174,20.155641920052,23.0795515658119,1.839
205,329,2024-01-04_16-07-39,6.0375004,6.23640148217782,7.33640189454503,2.094
206,330,2024-01-04_16-25-01,6.1625004,6.22444223822978,7.12398124369317,2.123
207,331,2024-01-04_18-06-18,6.5874996,10.1993170595656,11.3634401194067,2.177
208,332,2024-01-04_18-24-29,6.21579,8.22278849445574,9.16809453112494,2.184
209,333,2024-01-04_19-35-00,4.2133336,15.1936557887624,15.6168961533982,1.978
210,334,2024-01-04_19-52-08,3.5600004,14.8842730703558,20.8252842312722,1.978
211,335,2024-01-04_20-33-02,3.74375,6.44408461089333,7.62978555607891,1.978
